file_id,display,genres
Dr._Hook_&_the_Medicine_Show,Dr. Hook,"country rock, roots rock, boogie rock, pop rock, soft rock, blue-eyed soul, disco"
Dropkick_Murphys,Dropkick Murphys,"celtic punk, folk punk, street punk, oi!, hardcore punk"
Drowning_Pool,Drowning Pool,"alternative metal, nu metal, hard rock, post-grunge"
Duane_Eddy,Duane Eddy,"rock and roll, instrumental rock, country"
Duran_Duran,Duran Duran,"pop rock, synth-pop, new wave, dance-rock"
Eagles_(band),Eagles (band),"rock, country rock, soft rock, folk rock"
Echo_&_the_Bunnymen,Echo & the Bunnymen,"post-punk, new wave, neo-psychedelia"
Eddie_Cochran,Eddie Cochran,"rock and roll, rockabilly, country, rhythm and blues"
Eddie_Money,Eddie Money,"rock, pop rock, hard rock"
Edgar_Winter,Edgar Winter,"pop, jazz fusion, blues rock, blue-eyed soul, boogie rock, southern rock"
Electric_Light_Orchestra,Electric Light Orchestra,"progressive pop, progressive rock, orchestral pop, art rock, orchestral pop<ref>the following references cite the band as either orchestral pop or symphonic pop:, the classics: english progressive rock and the counterculture, archive.org, details, rockingclassicse0000maca, university press"
Elton_John,Elton John,"pop rock, glam rock, soft rock, blues"
Elvis_Costello,Elvis Costello,"rock, pop, new wave, power pop, punk rock, pub rock"
Elvis_Presley,Elvis Presley,"rock and roll, pop, rockabilly, country, gospel, r&b, soul, blues"
Emerson__Lake_&_Palmer,"Emerson, Lake & Palmer","progressive rock, art rock"
England_Dan_&_John_Ford_Coley,England Dan & John Ford Coley,"pop rock, soft rock, country rock"
Eric_Clapton,Eric Clapton,"rock, blues"
Europe_(band),Europe (band),"arena rock, hard rock, glam metal, blues rock"
Evanescence,Evanescence,"alternative metal, gothic metal, gothic rock, hard rock, industrial rock, symphonic metal, nu metal"
Everclear_(band),Everclear (band),"alternative rock, power pop, post-grunge, pop rock, grunge, punk rock"
Everlast,Everlast,"hip hop, folk rock, blues"
Extreme_(band),Extreme (band),"hard rock, funk metal, glam metal"
Faces_(band),Faces (band),"rock, blues"
Faith_No_More,Faith No More,"alternative metal, funk metal, alternative rock, experimental rock"
Fall_Out_Boy,Fall Out Boy,"pop-punk, pop rock, emo, alternative rock"
Fats_Domino,Fats Domino,"rock and roll, new orleans r&b, boogie-woogie, blues"
Filter_(band),Filter (band),"industrial rock, post-grunge, alternative rock, hard rock, industrial metal, alternative metal"
Finger_Eleven,Finger Eleven,"alternative rock, alternative metal, hard rock, nu metal"
FireHouse,FireHouse,"glam metal, hard rock"
Five_Finger_Death_Punch,Five Finger Death Punch,"groove metal, alternative metal, hard rock"
Five_for_Fighting,Five for Fighting,"soft rock, heartland rock, alternative rock, pop rock, americana, adult contemporary"
Fleetwood_Mac,Fleetwood Mac,"pop rock, soft rock, blues rock, art pop"
Flogging_Molly,Flogging Molly,"celtic punk, folk punk"
Florence_and_the_Machine,Florence and the Machine,"indie rock, indie pop, chamber pop, baroque pop, art pop, art rock, neo soul, folk"
Flyleaf_(band),Flyleaf (band),"alternative rock, post-grunge, hard rock, alternative metal, christian rock"
Foals_(band),Foals (band),"indie rock, alternative rock, math rock, art rock, dance-punk"
Foo_Fighters,Foo Fighters,"alternative rock, post-grunge, hard rock"
Foreigner_(band),Foreigner (band),"hard rock, soft rock, arena rock"
Foster_the_People,Foster the People,"indie pop, synth-pop, dance-pop, alternative rock, indie rock, neo-psychedelia"
